pathway,pathway_rank,pathway_priority,n_pathways_represented,gene_symbol,candidate_rank,candidate_priority,link_type,shared_AD_PD_leading_edge,n_original_pathway_links
Nucleotide catabolism,77,R3_recurrent_directional,3,CTCF,6,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,UBTD2,7,P2_single_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,NAPEPLD,8,P2_single_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,GAPDH,9,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,STX1B,10,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,NDUFB10,11,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
Nucleotide catabolism,77,R3_recurrent_directional,3,NT5C,12,P3_recurrent_dual_ocular_directional,shared_AD_PD_leading_edge,True,3
HATs acetylate histones,128,R3_recurrent_directional,3,SCAMP5,1,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,XYLB,2,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,RABEPK,3,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,ITGAM,4,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,CD38,5,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,CTCF,6,P1_recurrent_dual_ocular_nominal,broader_leading_edge_union,False,1
HATs acetylate histones,128,R3_recurrent_directional,3,UBTD2,7,P2_single_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,NAPEPLD,8,P2_single_dual_ocular_nominal,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,GAPDH,9,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,STX1B,10,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,NDUFB10,11,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
HATs acetylate histones,128,R3_recurrent_directional,3,NT5C,12,P3_recurrent_dual_ocular_directional,no_selected_R2_R3_link,False,0
Extracellular matrix organization,257,R3_recurrent_directional,1,SCAMP5,1,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Extracellular matrix organization,257,R3_recurrent_directional,1,XYLB,2,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Extracellular matrix organization,257,R3_recurrent_directional,1,RABEPK,3,P1_recurrent_dual_ocular_nominal,no_selected_R2_R3_link,False,0
Extracellular matrix organization,257,R3_recurrent_directional,1,ITGAM,4,P1_recurrent_dual_ocular_nominal,broader_leading_edge_union,False,1
